,SENTENCE,RELEVANT
2175,算成 詹姆斯 抱团 铁证,1
2822,目前 年 复刻 黑红 市价 已 突破 元双 全新 中 帮版实 再 好 不 平价 代品,1
3210,悉款 配色 月 日 正式 发售 发 售价 美元 喜欢 朋友 不妨 关注 下货 号 发售日期 月 日 发售 价格,1
915,次赛 脚 踩 驰骋 样子 真 非常 帅气 款 鞋子 无 首次 运 系列 印 技术 还 出色 前后 掌 包裹 性 都 受 主流 球星 欢迎,1
718,老 吴 儿子 岁 老子 特 宠爱 儿子 儿子 求 都 满足 满足,0
97,次 不 高端 风格 夏季 低帮 风格,0
3318,王琳凯 小鬼 次 上 脚 双 黑红 配色 很人 情怀 鞋款 前 已次 突袭 发售 正式 发售 今天 进行 传双鞋 货量 会 达 百万 双,1
2649,近日 款 类似 珍珠奶茶 配色 曝光 后 便 吸引 众 粉丝 关注 单品 整体 奶 白色 搭配 黑色 鞋头 装扮 呈现 侧 鞋帮 形成 互相 点缀 使 造型 风格 街头 感 十足,1
323,姚明 前 感觉 尊受 侮辱 最后 接受 锐步,0
1567,耐克 网友 疯狂 吐槽 引爆 场锁 反应 双 篮球鞋 球星 保罗 乔治 款 签名 鞋年 夏季 推出 耐克 网站 上 售价 美元 美元 属 耐克 众 系列 签名 鞋中款 非 普通 耐克 球鞋 加剧 人 耐克 球鞋 质量 质疑,1
1323,曝光 新鞋 系列 持续 出现 鞋迷 都 惊喜不已 外 最近 上 曝光 最新 联名 鞋款 图中 看 鞋款 棕灰蓝 紫 颜色 组成 运撞色 设计 手法 时鞋 后 带 字样 金属 搭扣,1
203,猎豹 设计 灵感 整 鞋底 都 设计 成 类似 动物 爪子 样式 鞋子 上面 全息图 外显 特点 国内 玩家 称作 猫眼 小东西 成 点睛 处,1
4036,二 联名 去年 联名 系列 中 不少 重磅 合作 都 出现 身影 中 最 热门 莫 系列 后 推出 低帮款 今年 公布 还 最近 刚刚 更新 反转 禁穿 都 看 出现 举动 更 普通 鞋友 玩家 慢慢 注意 鞋型,1
980,品牌 都 不 产品线 去面 不 人群 更重 双鞋 设计 成 材料 成 不,0
707,昨日 国区 突然 上架 后 秒 下架 操作 不少 网友 怀疑 否 进行 专属 发售,0
3685,今日 正式 释出 官方 图辑 近期 海外 曝光 款 全新 配色,1
3569,系列 球鞋 无疑 下 最 火爆 球鞋 系列 乔 老爷子 退役 后 年 还 上 亿美元 销售 分成 人 眼红 知道 詹姆斯 科 巅峰 时期 年收入 顶不上,1
3379,采 先进 动力 系带 系统 上脚 后 定制 电动 马达 齿轮 组动 感应 穿 脚部 需张力 进行 相应 调整 保障 足部 舒适,1
347,真 开车 上街 免费送,0
2245,相双 鞋子 耐磨性 还 内 场外 场 塑料 完全 没 问题 大家 都 知道 外场 方面 水泥 面 篮球鞋 损伤 最大 欧文 鞋底 没 硫化 胶底 水晶 底底 脆弱 样缓 震 方面 好 基础 欧文 鞋底 没特 强大 耐磨性 欧文,1
2498,没想外 下手 意思 次 品牌 标志性 印后 上,1
2837,然双底 不 实实 香,1
231,主题 揭示 通 手工 剪裁 开源 重新 构造 设计 方法 使 鞋子 看 目然 中 包括,1
1642,解爆鞋 事件 后 股价 应声 下跌 超 意味 次 突发事件 市值 蒸发 超 亿美元 相整 篮球鞋 市场 年 销售总额,0
2210,今年 双方 合作 然 继续 联名 外 还 带 全新 联名,1
693,最早 不断 鞋 注入 科技 元素 设计 上 逐步 走 市场化,1
1112,熟知 禁穿 款 颜色 资深 鞋迷 猜想 身前 上市 重磅 鞋型 警示 禁止 穿鞋 型 双 不禁 穿,1
3443,保罗 乔治 热衷 垂钓 探索 然 深厚感情,1
439,点击 上面 关注,0
2588,联名 系列 外 庆祝 香港 首 间 门店 开设 洛杉矶 街头 品牌 还 带 双 全新 亲友 限定 鞋款,1
411,世界 最 影响力 篮球赛 事时 商业 运作 最 成功 赛事 球员 收入 全球 最高 许 球星 年薪 高 达 万美元,0
1496,紧接 官宣双 反转 黑红 低帮版,1
1370,款 全新 战靴 采 复合材料 制成 织物 鞋面 呈现 保证 支撑 性 情况 下拥 更 轻 重量,0
777,人 都 不 告诉 颜值 实战 主 还 不贵 良心 推荐 邻居家 小孩 都 馋 哭 小姐姐 看 都 喜欢 问买,0
1659,解 耐克 目前 市值 亿美元 股 去年 时间 里 已 累计 上涨 今年年初 上涨 上,0
877,耐克,0
470,设计 风格 新潮 感 复古 性 相互间 相互间 转换 去,0
952,利 拉德 登中 底样 排面,0
1685,首先 造型 上 看 非常 复古 身上 很 容易 够 看出 年前 耐克 典 团队 篮球鞋 影子,1
602,外益 耐克 支持 匡威 今年 做些 突破 前双 全新 环保 版 曝光,0
697,双 加入 科技 感正儿 八 篮球鞋,0
2329,样 旗舰 战靴 样 折扣 价格 登场,1
217,总双分 很 高 篮球鞋,1
578,三 升级 然 很 球鞋 重量 居然 更 轻,1
788,继雷娜 代言 后 篮球鞋 方面 请许 代言,0
1028,作 传奇 巨星 科曼 巴 精神 代表 不屈不挠 毅力 许 篮球 运动员 激发 斗志 更加 勤奋 练习 提升 身 水平,0
698,发 售价 美元,0
607,免责 声明 慧科 网页 作 无关 不 内容 负责,0
1782,昨日 侃爷 再次 发推称 会 穿 直成 董事会 成员,1
1369,欧文 最新 签名 战靴 发布 已 曝光 时受 不少 实战 党期 欧文 最新 战靴 下 月 正式 发布,1
206,双 鞋子 搭配 上 紧身 铅笔 裤腿 视觉 上面 拉长 层次 简直 完美 搭配,0
3696,近日 海外 曝光 款 全新 配色,1
814,然 还 属概念 鞋 范畴 不 篮球鞋 不未期 耐克 契机 造 出 类似 篮球鞋 期下 卡特 横空出世 划破 天际,0
742,然 今年 大 运动 品牌 日子 却 不太好 毕竟 特殊 情况 影响 下 行业 都 受定击,0
970,退役 快 看 伤势 前 相提 问题 先 大家 介绍 下天 推文里 说 很 意义 两词,1
6,今烂 大街 曾 面前 只 弟弟 篮球鞋 热度 近年 直 持续 升温 没出 双新 配色 价格 都 炒 上天 似 近年 火 意味 没前 纯粹 很 都 脱爱 鞋身,1
405,,0
3557,认未 彻底 超越 乔丹 成 球鞋 全子 品牌,1
380,美产作 千系 家族 开山鼻祖 问世 年 优质 工艺 深受 鞋迷 喜爱,0
922,发售日期 年 去年 成员 已上 脚 姜 黄色 联名 版大 概率 会 今年 正式 发售,1
1383,灵感 源 欧文 主场 布鲁克林 纯 黑色 鞋身 映衬 白色 图 底纹 低调 难掩 霸气,1
349,侃爷 免费送 做法 实属 令人 意外 没想 送 鞋程 令人 防不胜防,0
4140,再 曝新 配色 刚刚 发售 不久 优良性 配置 不俗 造型 表现 俘获 众 玩家 心,1
1430,名 职业 篮球 运动员 赛场 上 数力 证明 科样 单场 砍 下 分今 无人 然 场外 品牌 代言 代表 影响力 詹姆斯 样 年代 言 收入 竟然 年薪 还 高出 不少,0
1730,例 天正 抽签 年度 鞋王 周杰伦 早已 提早 穿 上 演绎 不 传说 中 亚洲 最速 男事 取款 稀奇 联名 鞋 明星 确屈 指数 看出 深厚感情,1
1445,实 不仅 存样 现象,0
1333,最近 篮球 神 迈克尔 乔丹 纪录片 提前 开播 引 不少 热议 中关 乔丹 年 耐克 合约 签名 鞋 命名 话题 非常 值 关注,0
687,很 生气 说 假 嫁,0
2834,果中底 搭载 后 掌 考虑 近两年 非常 喜爱 放 系列 上 更换 气垫 配置 不 不,1
1306,总言 人物形象 球场上 王 风范 不谋合,1
3425,今 愈发 重视 女性 消费 爱好 需求 不断 女性 造 专属 鞋款 收获 不错 反响 赞誉 早前 出色 人气 品牌 继续 推出 新鞋 款,1
562,便利店 想必 位 都 十分 熟悉 说 已 开遍 全球 标志性 深入人心 合作 小编 不禁 联想 前 黄牌 运输 公司 合作 使 两 品牌 点 风马牛不 相存 合理,0
1396,真正 鞋头 都 收藏 样典 豪什 人气 高,1
471,后 气垫 扶持 下 特殊 笼状 结构 包覆 外型 上 极具 击感,0
937,发售日期 年前 直 都 玩 今年 三十周年 足 面子,0
3952,作 系列 继 不少 篮球 狂热 期款 全新 科技 篮球鞋,1
1731,演译 外 周杰伦 近期 提早 穿 上 双 月 重磅 鞋款 却 间 关系 看 错综复杂 看晕众 鞋迷,1
2318,悉 月 日 正式 发售 发 售价 届时 喜欢 朋友 不错,1
1167,今年 鞋王 太,0
1310,知道 龙 传统 神话 中 王权 力量 象征 呈现 鞋款 上 无疑 映衬 两位 代王 篮球 音乐 领域 里 强大 统治力,0
640,年次 新年 中国 人 阖家欢乐 日子 中国 人 最重 节日,0
281,知道 前段 日子 李小璐 疑似 情骂 俏 新闻 天天 霸屏,0
2949,耐克,1
2315,万圣节 配色 释出 后 今日 再次 释出 款 全新 万圣节 主题 月 正式 发售,1
434,鞋面 采 大面积 织物 材质 搭配 高档 翻 毛皮 材质 鞋头 采更 复古 造型 设计 整双 鞋带 更 纯粹 滑板 风格,0
662,宽松 工装裤 搭配 时候 修饰 腿 型 裤子 高帮鞋 遮住 很 大部分 后 显套 穿 搭 很 范儿 搭配 还 突出 王博 青春活力,0
3572,年 签下 乔丹 耐克 菜鸟 乔丹 开出 年 万美元 天价 代言 费 还 不足 完全 吸引 乔丹 耐克 开出 成立 乔丹 名字 命名 子公司 乔丹 人 永久性 销售 分红,1
559,免责 声明 慧科 网页 作 无关 不 内容 负责,0
194,很小 伙伴 觉 只 双 美腿 才够 配上些 实不样 只 穿 搭 方式 正确 大家 目光 都 会 聚集 上面,1
2316,款 整体 黑色 基调 亮眼 荧光 绿邪 细节 附 外侧 上 呈现 下滴 趋势,1
997,许下 双看 耐克 鼓捣 出些 奇奇怪怪 鞋带 系统,1
729,售货员 看老 吴身 行头 嘲笑 老 吴装 大款 说 民工 还 买 耐克,0
1357,停止 发售 关科切 单品 后 原 计划 发布 直 延期,1
770,处 细节 展现出 太空 主题 鞋舌 星球 呈现 鞋帮 内侧 酷似 宇宙 大 爆炸 涂鸦 设计 外侧 字样 呼应 宇宙 探索 主题,0
612,李 韦德 道然 双 韦德 道发 售价 点小贵 还物 超值 韦德 道,1
3774,花卉 配色 设计 上 延续 整体 贯 风格 浅黄 配色 主 点缀 上 柠檬 黄色 非常 谐 充满 清新 感,1
4029,今年 位 鞋友 都 买,1
949,利 拉德利 拉德 换成 点 已 确认,0
1154,样轮轮 明星 轰炸 实人点 措手 不凡 些 初 看 不样 鞋款 看 完圈 搭配 玩家 上脚 后 仿佛 真点 香,0
2133,系列 详细 介绍 发售 年直 今日 旗下 非常 典鞋 款 风格 特 典型 皮革 材质 鞋子 看特 质感 完全 没时 感觉,1
1586,款 配色 白色 主调 辅 黄色 蓝色 玫 红色 细节 点缀 成,0
3502,鞋子 整体 造型 款 复古 鞋款 设计 蓝中底 设计 相结合,1
99,双双 使 白色 作 整体 色调 黑色 红色 系列 相结合,1
2767,双 芝加哥 估值 阶段 乔丹 创造 项 历史 发 主题 拍卖 活动 期间 苏富 拍卖行 双 芝加哥 进行 估值 结果 居然 度高达 万美元 约合 超万,1
859,字母 哥外 欧文 最新 签名 鞋迎 黑红 配色,1
837,巨额 罚单 背后 易建联 不 上场 都 耐克 名额,0
344,上周 著名 爆料 账号 还 进步 泄露 系列 推出 两版 包括 称 生活版 右 基性 构造 带 反光,1
608,李 安踏 王 新年 款迪 幸运 叶子 距年 还 星期 新年 脚步声 越越 近 月 前 大 运动 品牌 开始 发力迪 达斯 系列 新年 款年 都 会 上演 中国 配色 家 厉害 戏码,0
568,倒钩 弟弟 正钩 袭定 档 月,1
1313,耐克 媒体 中心 只 简单 介绍 影响力 配置 表示 会 发售,1
2473,中典 系列 新款 设计,1
3636,破解 颜色 相信 会 帮助 下 继续 流行,1
3744,关双 烟灰 看法 马尼亚 表态 还 前样 今年 灰色 人气 很 高果 很 喜欢 样 色系 原价 入手 双月 日 正式 发售 果 已够 配色 不 特 感兴趣 大 不必,1
2256,甚 很 国人 口味 养 刁钱 买 不香,1
982,限定 配色 国外 排队 购买,1
2599,今年 发挥 实 恐怖 肯定 刺激,1
2881,次 藤原 浩 没 正代 系列 联名 不 知道 价格 上否 亲民些,1
1651,年 马刺 活塞 赛中 吉诺利 防守 时 左脚 脚下 滑脚 上 直接 撑破 导致 脚 直接 鞋帮 裂缝 里 钻出,0
143,,0
1190,后事 都 知道 锐步 看准 时机 果断 出 诚意 合 耐克 然 匹配 报价 合中些 猫腻 姚明 发现 最终 拒绝,0
3900,目前 趋势 看 今年 热度 确实 缓慢 下降,1
3095,想现 孩子 激动 情感 身受 年 拥双时 样旦 看 双 知道 最狠货,1
2252,,1
2474,次 泄露 发售 计划 消息 中 已 确认 发售 白色 三色 外 关注度 最高 联名,1
678,免责 声明 慧科 网页 作 无关 不 内容 负责,0
1634,准 状元 脚下 去 球鞋 半 裂开,0
1494,年初 发售 反转 禁穿 配色 说 身色禁 穿 配色 方案 里 里 红 黑 互相 换换 加上 货量 少 鞋市 上 面子 小小 飞波,1
1625,特 配色 今年 正式 发售 鞋运采 配色 搭配 磨砂 皮质 料辅 黑色 细节 搭配 黄色 锯齿,1
1461,款 运动鞋 十分 稀少 年 发布 数量 双年 拥动 系带 技术 复刻版 仅 发布 双,0
193,果换 女孩子 身上 话 松垮 球衣 样 女孩子 穿脚 上 简直 性感 耍流氓,1
754,实际上 锐步 迪 达斯 收购 市场 表现 直 不够 理想,0
589,开 查看 更 精彩图片 今年 球鞋 圈 说 系列 统治 重磅 联名 接 发售 市场 价格 暴涨,0
1135,开 浏览器 查看 更 精彩图片 好 先 不 说 小编 搬 砖 存钱 去,0
1772,无疑 重磅 鞋款 相继 发售 后 玩家 球鞋 进入 段时间 佛系 状态,1
1276,前不久 詹姆斯 带款 新 球鞋 正双低 帮版,1
2454,诞生 年 时达威 刚刚 历段 生涯 巅峰 场均断 命中率 超上 看 耐克 诚心 作前 掌 内嵌 中底 覆盖 大面积 抗扭片 后 掌 气垫 鞋型 鞋面 材料 延续 前 发泡 材料 显然 组合 现看 旗下 签名 鞋 系列 中许 詹姆斯 系列 鞋面 材料 更新 新 科技 加持 更 前卫 少脚 感不输 篮网 家 球星 凯文 杜兰特 系列 甚 篮球 神 迈克尔 乔丹 系列 说许 玩家 心目 中 最佳 配置 设定,1
1643,报道 中称 耐克 市值 会度 蒸发 超 亿美元 锡安 威廉 姆 森认 今年 选秀 头号 大 热门 前 头号 球星 勒布朗 詹姆斯 十年 前 高中 进入 选秀 大会 最 热门 新秀,0
1199,耐克 很 尴尬 然 伦纳德 前 不 直接 签约 耐克 关系 都 知道 说 伦纳德 时 看做 耐克 间接 球员,1
914,安东尼 称 巨星 后 更 推出 独家 签名 鞋 系列,1
1275,前掌 两块 分 设计 单元 配合 后 掌 部分 面积 巨大 气垫 组合 提供 整双鞋 不错 启动 反馈 良好 缓震 表现 新 鞋面 材质 使整 双鞋 提供 更好 支撑 鞋面 强度 双 整体 配置 上 无 挑剔 厚重 鞋体 还 不少 球迷 外观 不太 满意,0
667,耐克 欧文 男子 篮球鞋 京东 购买 欧文 战靴 先后 波士顿 球鞋 店铺 开展 联名 上 图 李小龙 配色 刚出 都 不少 朋友 惊呼 太帅,1
399,非,0
2455,考虑 达威 年然 球风 偏 组织 前锋 处 位置 上 毕竟 还锋卫 摇摆人 詹姆斯 样 坦克 型 锋线 不 实战 性实性 方面 还 系列 强 无 后卫 还 锋线 球员 现更 轻松 容易 驾驭 达威,1
1539,,0
2533,滑动 查看 更 图片 曾 预告 官方 近日 确认 发售日期,1
955,攀登 哥果 只 选双鞋 话 性价 更好 些,1
270,尤 耐克 大 品牌 正 时间 久受 消费 信赖 更 应严 质量关 不 消费 失,0
317,鞋后 处 点明 联名 身份,0
3772,今年 还 迎 全新 花卉 配色,1
839,易建联 穿 鞋子 耐克 耐克 合 耐克 买 穿鞋 权益,0
304,银河 主题 潮流 中 早已 屡见不鲜 元素 使 翻覆 去 解构 重塑 次 主题 推出 单品 仍 吸引 玩家 驻足,1
2823,悉 全新 今年 正式 发售 目前 尚未 释出 具体 发售 详情 不 估计 届时 很 抢手 感兴趣 朋友 定 继续 关注 资讯,1
2023,,1
472,鞋型 后 上 拥致 设计方案 鞋面 上 设计方案 更 高调,0
1283,讯 体育讯 耐克 最近 新动 近日 发布 具 超强 缓性 颜色 醒目 黑红 配色,0
506,外日 老牌 滑板 店铺,0
3749,保罗 乔治 最新 代 签名 战靴 年初 亮相 已 发布 近 十款 配色 配色 没款 称 上 好看,1
1380,绿色 鞋底 象征 拍摄 片场 绿幕,0
2532,发售,1
3238,系列 中 不 都 全新 设计 鞋款 位 新 成员 原型 鞋面 深灰色 回收 环保 织物 造 粗糙 质感 酷似 单布 材质,1
906,品牌 建立 推出 系列 知名 球鞋 品牌 旗下 目前 签 拉塞尔 韦 斯布鲁克 吉米 巴特勒 肯巴沃克杰 森塔 图姆 布雷克 格里芬 克里斯 保罗 卡梅罗 安东尼 蔡恩 威廉 姆 森些 大牌 球星 中国 球员 郭 艾伦 签约 品牌 下 球员 安东尼 保罗 都 签名 球鞋 广 受欢迎,1
1295,手 货源 件 代发,0
3795,乔丹 外 很 国外 官网 攻略 群聊 粉丝 聊 时常 鞋子 最新 信息 展开 下 三张 漫威 全球 人气 直 不断 飙升 不少 品牌 都 选择 漫威 宇宙 进行 合作 推出 联名 相信 很鞋 友希 看样 合作 最近 双漫 威些 关联,1
923,发售日期 年 夏季 秋冬 女装 秀场 出现 暂称 只会 女鞋 规格 发售,1
98,不 知道 更 喜欢 低帮 款式 还 高帮 款式,0
2939,代詹不说 怕 刀 价值 差异 什物 下脚 后够 很 清楚 明明 出 不值 结,1
3309,鞋面 旧 采典 材质 造鞋 处 白色 飞人 标志,1
1569,踩 爆 球鞋 事件 早 先例 耐克 赛 结束 后 曾 发布 声明 称事 高度 关注 希 锡安 早日康复,0
1615,新品 上市 时间 不会 放未 准备 关注 公众 号 朋友 市场价 参加 抽彩 出售 机会,0
418,旗下 巨星 包括 东契奇 威少 锡安 保罗 安东尼 沃克 郭 艾伦,0
2011,放下 新鞋 空中 大 灌篮 辛普森 球鞋 梦 炫耀 超稀 红白 套装 灰姑娘 水晶鞋 年度 鞋王 直接 取代,1
1459,完全 手工 制作 目前 仅存 双次 拍品 更 已知 现存 唯双 全新 双鞋 估价 约 万美元 约 人民币 万,0
904,目前 成 篮球 界 非常 知名品牌 根 福布斯 年 球鞋 合 收入 排行 中 乔丹 年 耐克 获 收入 达 亿美金 排位 超 很 现役 球星,0
652,科 职业生涯 湖人队 夺 总冠军 耐克 科代 签名 战靴 年 月初 上市,1
1092,近日 推出 薄荷 绿色 主调 配色 晒出 实物图,0
1274,然双磨 没 辜负 球迷 朋友 双鞋 期,0
496,八 村 塁 联名 曝光 八 村 塁 年 出生 日 仙台 市日 职业 篮球 运动员 年通 选秀 进入,1
1320,最后 双否 联名 鞋款 不知,1
1106,底鞋,0
3413,继红毯 圣诞节 两 配色 后 配色 传出 复刻 消息,1
129,内衬 还 带 麦劳 元素符号 半透明 外 底样 图案 装饰 非常 引人注目,0
591,王博 提前 上脚 积木 熊 近日 球鞋 爆料 账号 曝出款 酷似 情人节 全新 配色,0
2262,相信 非常 典款 定会 恰烂止 不然 不会 停,1
542,系列 谓现 耐克 旗下 最 火爆 运动鞋 系列 算高仿 卖千双,1
2829,延续 代 设计 思路 近年 正代融 体现 看看 双鞋 细节 结合 中底 大底 捕蝇草 鞋面 设计 鞋后 最新 代埃眼 说 双鞋 去年 欧文 系列 最 标致 性 设计 完美 融合 欧文,1
1934,城市 机 风格 拆卸 大底 独特 穿 搭 方法 众 球鞋 中 脱颖出 近日 迎款 全新 配色,1
2740,黑红 新鞋 最近 新鞋 不断 上 步伐 今 早款 全新 黑红 配色 首次 曝光 实物 延续 典低 帮 造型,1
115,双鞋 无疑 增加 许人 期典 再现 回时 带 新 主题 元素 很 容易 辨认,0
3184,蔡恩 威廉森 最终 还 完成 签约 耐克 没 状元郎 花落 家 耐克 直处 舆 风口 中央 前段时间 关 伦纳德 大 手 标志 问题 伦纳德 方面 耐克 方面 都理 力争 还 没出 答案 现名 律师 翻旧账 树大招风 时真 好好 考虑 下否 做 不 做事,1
